rescue_state,rescue_date
Canceled,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Canceled,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/7/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Canceled,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Canceled,9/6/2024
Completed,9/6/2024
Canceled,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Canceled,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Canceled,9/6/2024
Canceled,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Canceled,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Canceled,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Canceled,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Canceled,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Completed,9/6/2024
Canceled,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Canceled,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Canceled,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Canceled,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Canceled,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Canceled,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Canceled,9/5/2024
Completed,9/5/2024
In progress,9/5/2024
Canceled,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/5/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Canceled,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Canceled,9/4/2024
Canceled,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Completed,9/4/2024
Canceled,9/4/2024
Completed,9/4/2024
